state, lat, lon
 "Ohio", 41.6547715, -83.5381132
 "New York", 40.7142, -74.0064
 "Florida", 28.41535157, -81.58063007
 "New York", 40.74047242, -73.99591563
 "Pennsylvania", 40.02761381, -75.31481452
 "Florida", 30.367131, -86.257504
 "Georgia", 33.83802381, -84.38023476
 "New Jersey", 39.73260048, -75.1305802
 "Alabama", 33.99531454, -86.00778752
 "Virginia", 38.85862802, -77.356793
 "New York", 40.75788499, -73.98144549
 "New York", 40.9994087, -72.2949219
 "Florida", 25.78721294, -80.3806319
 "Illinois", 41.57628302, -88.16628319
 "Georgia", 34.2000194, -84.09807995
 "Ohio", 40.97744, -81.48321
 "Georgia", 33.59323704, -85.03784811
 "Maryland", 39.64038441, -77.72113144
 "Florida", 30.377784, -86.378591
 "Ohio", 41.42688067, -81.73764825
 "Florida", 30.251571, -85.6562375
 "Florida", 30.26337167, -81.55416906
 "Florida", 26.53393925, -80.14553297
 "Indiana", 40.39371483, -86.8344455
 "New York", 40.77499353, -73.96661638
 "New York", 40.7142, -74.0064
 "Georgia", 33.86850042, -84.62574824
 "New York", 40.77502724, -73.96659553
 "Michigan", 43.4095838, -84.66802597
 "South Carolina", 32.7893, -79.9863
 "New York", 40.77333333, -73.98222222
 "New York", 40.77333333, -73.98222222
 "New York", 40.77333333, -73.98222222
 "New York", 40.77333333, -73.98222222
 "Virginia", 38.9177143, -77.21973264
 "New York", 40.77333333, -73.98222222
 "New York", 40.77333333, -73.98222222
 "New York", 40.77333333, -73.98222222
 "Florida", 27.94888115, -82.44833708
 "Illinois", 41.80337256, -87.58640915
 "Illinois", 41.80337256, -87.58640915
 "New York", 40.77502724, -73.96659553
 "Vermont", 43.921732, -72.6651043
 "Maryland", 39.64038441, -77.72113144
 "Florida", 30.367131, -86.257504
 "New York", 40.77511434, -73.9665699
 "New York", 40.68191, -73.95848
 "New York", 40.86812, -73.92081
 "Tennessee", 35.06381415, -89.75881983
 "New York", 40.71467017, -73.95767056
 "New York", 40.64581325, -73.77554577
 "Florida", 30.377784, -86.378591
 "Pennsylvania", 40.50755292, -80.26501776
 "Pennsylvania", 40.50755294, -80.26501776
 "Tennessee", 35.0689985, -85.28871219
 "New Jersey", 40.68584503, -74.03617859
 "District of Columbia", 38.89603298, -77.0555104
 "Florida", 30.251571, -85.6562375
 "New York", 40.77800178, -73.97853383
 "New York", 40.77486677, -73.96654594
 "Florida", 28.41991358, -81.57980564
 "Illinois", 41.8843297, -87.64792515
 "New York", 40.72111085, -73.98786106
 "New York", 40.77809839, -73.97858087
 "Illinois", 41.89115759, -87.61915224
 "Florida", 30.28855, -81.44336
 "New York", 40.7207559, -74.0007613
 "New York", 40.7724923, -73.9828903
 "Florida", 28.37819418, -81.48902979
 "Ohio", 41.13292866, -81.64212619
 "District of Columbia", 38.91185, -77.0658798
 "New York", 40.7207559, -74.0007613
 "Georgia", 33.74436137, -84.37718868
 "New York", 42.9958486, -78.7227526
 "Florida", 27.44938093, -82.53186107
 "Pennsylvania", 40.43960163, -79.98959977
 "New York", 40.77486677, -73.96654594
 "New York", 42.79484277, -77.81840981
 "New York", 40.751, -73.989
 "Tennessee", 36.07512263, -86.9235395
 "Florida", 26.1896446, -80.10658369
 "New York", 40.758194, -73.9793396
 "New York", 40.73486998, -73.98845218
 "Ohio", 41.65305556, -82.8175
 "New Jersey", 40.58469, -74.61317
 "South Carolina", 34.17758619, -82.37812201
 "Tennessee", 36.10884, -86.81675
 "Illinois", 40.69189, -89.59388
 "Florida", 30.28855, -81.44336
 "New York", 40.73486998, -73.98845218
 "New York", 40.73486998, -73.98845218
 "New York", 40.7348007, -73.98844259
 "New Jersey", 40.58449937, -74.61368755
 "New York", 40.73486998, -73.98845218
 "New York", 40.7348007, -73.98844259
 "Florida", 28.47352398, -81.46700342
 "New York", 40.73486998, -73.98845218
 "New York", 40.71467017, -73.95767056
 "District of Columbia", 38.89588, -76.996407
 "Illinois", 38.78318169, -89.95609995
 "New York", 40.7452, -73.9873
 "Virginia", 37.55344799, -77.48122624
 "South Carolina", 34.82866775, -82.62216147
 "Illinois", 41.75380964, -87.73340464
 "Pennsylvania", 40.28752891, -79.97028147
 "Florida", 29.4825404, -81.20395303
 "Michigan", 42.4313169, -83.3191047
 "New York", 40.75703458, -73.98905285
 "New York", 43.0753, -73.7824
 "Florida", 25.93124648, -80.13514122
 "Georgia", 34.06170065, -84.50169903
 "Ohio", 41.30983849, -81.5166404
 "New York", 40.7142, -74.0064
 "Wisconsin", 42.71764766, -87.91249477
 "Michigan", 42.3790894, -83.4617538
 "New York", 40.70799576, -73.86809246
 "North Carolina", 36.0717739, -79.79391466
 "Michigan", 43.01849524, -85.68612737
 "Florida", 26.01145895, -80.35943132
 "Massachusetts", 42.3948212, -71.07991079
 "Michigan", 43.00106141, -85.59321642
 "Pennsylvania", 40.03753014, -75.03910225
 "New Jersey", 40.24972562, -74.29465771
 "Illinois", 41.70231583, -87.78791914
 "New York", 40.75687433, -73.98902033
 "Kentucky", 38.24781706, -85.6245435
 "Massachusetts", 42.25145541, -70.92199421
 "Florida", 28.66296549, -81.23441577
 "Maryland", 39.33517, -76.63588
 "Connecticut", 41.74781795, -72.71236292
 "Massachusetts", 42.3948212, -71.07991079
 "Florida", 28.54087403, -81.37867749
 "Florida", 27.98151029, -81.9479645
 "Kentucky", 38.22247435, -85.53118584
 "Georgia", 33.79148849, -84.39184427
 "New Jersey", 39.85559688, -75.02078533
 "Florida", 26.93628281, -80.08034624
 "New York", 40.74276196, -73.97692323
 "North Carolina", 35.92818972, -79.02805438
 "Michigan", 42.91150761, -83.6267817
 "New Jersey", 40.79223566, -74.25500834
 "Florida", 26.30004031, -80.25344885
 "South Carolina", 34.945037, -82.00069129
 "District of Columbia", 38.8951, -77.0367
 "Florida", 25.68846546, -80.39303026
 "Florida", 25.56517957, -80.49960228
 "Illinois", 41.8369, -87.6844
 "Illinois", 41.8369, -87.6844
 "Michigan", 42.3315506, -83.1603317
 "Pennsylvania", 40.33638957, -75.93406392
 "Michigan", 42.70268925, -83.29576187
 "Maryland", 39.20554213, -76.67796609
 "Michigan", 42.22750047, -83.68127346
 "Pennsylvania", 40.08807072, -75.03788721
 "Michigan", 43.01855161, -85.68624333
 "Georgia", 33.69910066, -84.09768105
 "Tennessee", 36.20616863, -86.69517733
 "Virginia", 38.8023516, -77.07079768
 "Florida", 25.7858009, -80.3758698
 "New York", 40.78679465, -73.97763963
 "Florida", 28.47015304, -81.44705603
 "Indiana", 39.9568253, -86.1175461
 "Illinois", 41.92134177, -87.66557265
 "Ohio", 41.42094356, -82.66787052
 "New York", 40.66141696, -73.97971151
 "Wisconsin", 42.91304774, -87.9341197
 "District of Columbia", 38.90272945, -77.06160413
 "Pennsylvania", 40.30310971, -76.83503235
 "Maryland", 39.03426644, -76.6874899
 "Pennsylvania", 40.43976939, -79.98968559
 "North Carolina", 35.68909, -78.57456
 "Michigan", 42.53120332, -83.11114598
 "Florida", 26.01145895, -80.35943132
 "Florida", 27.44941104, -82.53255179
 "New York", 40.7042, -73.9178
 "Illinois", 41.93006355, -87.68845273
 "North Carolina", 35.22694444, -80.84333333
 "North Carolina", 35.68909, -78.57456
 "Wisconsin", 42.5218, -88.9827
 "Ohio", 41.63097874, -81.42428226
 "Maryland", 38.7830887, -77.0175323
 "Vermont", 44.1511, -72.6574
 "Michigan", 42.24623, -84.74752
 "Michigan", 42.24623, -84.74752
 "Wisconsin", 44.25611311, -88.34410464
 "New York", 40.71461229, -74.01515282
 "Pennsylvania", 40.08640068, -75.03802057
 "Pennsylvania", 40.42883779, -79.79545301
 "New Jersey", 40.24972562, -74.29465771
 "Illinois", 41.85131504, -87.61717358
 "Mississippi", 34.96534598, -89.98738289
 "Alabama", 34.0012487, -85.975662
 "New York", 40.7502295, -73.9908539
 "Illinois", 41.8604317, -87.6280823
 "New York", 40.75242866, -73.99426568
 "Michigan", 44.3325, -85.2132
 "Michigan", 44.3325, -85.2132
 "North Carolina", 35.108359, -80.87510347
 "New York", 40.68072141, -73.95363717
 "Illinois", 41.85160522, -87.61670405
 "Virginia", 38.2966632, -77.5165928
 "Illinois", 41.85160522, -87.61670405
